CustomerKey;FirstName;LastName;FullName;Gender;GenderShort;City;DateFirstPurchase
11000;Jon;Yang;Jon Yang;Male;M;Rockhampton;2021-01-19
11001;Eugene;Huang;Eugene Huang;Male;M;Seaford;2021-01-15
11002;Ruben;Torres;Ruben Torres;Male;M;Hobart;2021-01-07
11003;Christy;Zhu;Christy Zhu;Female;F;North Ryde;2020-12-29
11004;Elizabeth;Johnson;Elizabeth Johnson;Female;F;Wollongong;2021-01-23
11005;Julio;Ruiz;Julio Ruiz;Male;M;East Brisbane;2020-12-30
11006;Janet;Alvarez;Janet Alvarez;Female;F;Matraville;2021-01-24
11007;Marco;Mehta;Marco Mehta;Male;M;Warrnambool;2021-01-09
11008;Rob;Verhoff;Rob Verhoff;Female;F;Bendigo;2021-01-25
11009;Shannon;Carlson;Shannon Carlson;Male;M;Hervey Bay;2021-01-27
11010;Jacquelyn;Suarez;Jacquelyn Suarez;Female;F;East Brisbane;2021-01-14
11011;Curtis;Lu;Curtis Lu;Male;M;East Brisbane;2020-12-30
11012;Lauren;Walker;Lauren Walker;Female;F;Bremerton;2023-03-16
11013;Ian;Jenkins;Ian Jenkins;Male;M;Lebanon;2023-04-13
11014;Sydney;Bennett;Sydney Bennett;Female;F;Redmond;2023-03-23
11015;Chloe;Young;Chloe Young;Female;F;Burbank;2023-01-18
11016;Wyatt;Hill;Wyatt Hill;Male;M;Imperial Beach;2023-02-09
11017;Shannon;Wang;Shannon Wang;Female;F;Sunbury;2021-01-12
11018;Clarence;Rai;Clarence Rai;Male;M;Bendigo;2021-01-17
11019;Luke;Lal;Luke Lal;Male;M;Langley;2023-02-12
11020;Jordan;King;Jordan King;Male;M;Metchosin;2022-12-29
11021;Destiny;Wilson;Destiny Wilson;Female;F;Beaverton;2023-01-23
11022;Ethan;Zhang;Ethan Zhang;Male;M;Bellingham;2023-01-20
11023;Seth;Edwards;Seth Edwards;Male;M;Bellflower;2023-02-17
11024;Russell;Xie;Russell Xie;Male;M;Concord;2023-06-27
11025;Alejandro;Beck;Alejandro Beck;Male;M;Hawthorne;2021-01-06
11026;Harold;Sai;Harold Sai;Male;M;Goulburn;2021-01-23
11027;Jessie;Zhao;Jessie Zhao;Male;M;Warrnambool;2021-01-16
11028;Jill;Jimenez;Jill Jimenez;Female;F;St. Leonards;2021-01-26
11029;Jimmy;Moreno;Jimmy Moreno;Male;M;Bendigo;2021-01-19
11030;Bethany;Yuan;Bethany Yuan;Female;F;Cloverdale;2021-02-05
11031;Theresa;Ramos;Theresa Ramos;Female;F;Matraville;2021-02-01
11032;Denise;Stone;Denise Stone;Female;F;Melbourne;2021-02-18
11033;Jaime;Nath;Jaime Nath;Male;M;Milsons Point;2021-02-15
11034;Ebony;Gonzalez;Ebony Gonzalez;Female;F;North Sydney;2021-02-01
